Site_no,DateTime,Value
66442,31/12/2023 11:00:00 AM,132.405
66442,31/12/2023 12:00:00 PM,194.404
66442,31/12/2023 1:00:00 PM,424.790
66442,31/12/2023 2:00:00 PM,426.632
66442,31/12/2023 3:00:00 PM,398.499
66442,31/12/2023 4:00:00 PM,366.789
66442,31/12/2023 5:00:00 PM,329.371
66442,31/12/2023 6:00:00 PM,305.265
66442,31/12/2023 7:00:00 PM,291.913
66442,31/12/2023 8:00:00 PM,263.950
66442,31/12/2023 9:00:00 PM,260.506
66442,31/12/2023 10:00:00 PM,248.673
66442,31/12/2023 11:00:00 PM,237.968
66442,1/01/2024 12:00:00 AM,223.335
66442,1/01/2024 1:00:00 AM,218.913
66442,1/01/2024 2:00:00 AM,213.226
66442,1/01/2024 3:00:00 AM,201.649
66442,1/01/2024 4:00:00 AM,198.468
66442,1/01/2024 5:00:00 AM,189.539
66442,1/01/2024 6:00:00 AM,182.187
66442,1/01/2024 7:00:00 AM,178.539
66442,1/01/2024 8:00:00 AM,176.948
66442,1/01/2024 9:00:00 AM,168.808
66442,1/01/2024 10:00:00 AM,164.332
66442,1/01/2024 11:00:00 AM,161.220
66442,1/01/2024 12:00:00 PM,156.587
66442,1/01/2024 1:00:00 PM,151.539
66442,1/01/2024 2:00:00 PM,148.710
66442,1/01/2024 3:00:00 PM,146.550
66442,1/01/2024 4:00:00 PM,142.268
66442,1/01/2024 5:00:00 PM,139.304
66442,1/01/2024 6:00:00 PM,136.779
66442,1/01/2024 7:00:00 PM,133.233
66442,1/01/2024 8:00:00 PM,130.963
66442,1/01/2024 9:00:00 PM,127.493
66442,1/01/2024 10:00:00 PM,125.071
66442,1/01/2024 11:00:00 PM,122.507
66442,2/01/2024 12:00:00 AM,119.191
66442,2/01/2024 1:00:00 AM,118.018
66442,2/01/2024 2:00:00 AM,116.647
66442,2/01/2024 3:00:00 AM,115.470
66442,2/01/2024 4:00:00 AM,113.110
66442,2/01/2024 5:00:00 AM,111.505
66442,2/01/2024 6:00:00 AM,110.107
66442,2/01/2024 7:00:00 AM,108.715
66442,2/01/2024 8:00:00 AM,107.923
66442,2/01/2024 9:00:00 AM,105.558
66442,2/01/2024 10:00:00 AM,104.774
66442,2/01/2024 11:00:00 AM,104.187
66442,2/01/2024 12:00:00 PM,103.414
66442,2/01/2024 1:00:00 PM,102.850
66442,2/01/2024 2:00:00 PM,102.474
66442,2/01/2024 3:00:00 PM,100.766
66442,2/01/2024 4:00:00 PM,98.843
66442,2/01/2024 5:00:00 PM,98.456
66442,2/01/2024 6:00:00 PM,96.698
66442,2/01/2024 7:00:00 PM,95.294
66442,2/01/2024 8:00:00 PM,93.844
66442,2/01/2024 9:00:00 PM,92.217
66442,2/01/2024 10:00:00 PM,92.217
66442,2/01/2024 11:00:00 PM,91.216
66442,3/01/2024 12:00:00 AM,90.227
66442,3/01/2024 1:00:00 AM,89.087
66442,3/01/2024 2:00:00 AM,89.087
66442,3/01/2024 3:00:00 AM,87.619
66442,3/01/2024 4:00:00 AM,87.436
66442,3/01/2024 5:00:00 AM,86.706
66442,3/01/2024 6:00:00 AM,86.524
66442,3/01/2024 7:00:00 AM,86.341
66442,3/01/2024 8:00:00 AM,84.887
66442,3/01/2024 9:00:00 AM,85.432
66442,3/01/2024 10:00:00 AM,85.069
66442,3/01/2024 11:00:00 AM,83.982
66442,3/01/2024 12:00:00 PM,83.621
66442,3/01/2024 1:00:00 PM,83.260
66442,3/01/2024 2:00:00 PM,82.720
66442,3/01/2024 3:00:00 PM,82.540
66442,3/01/2024 4:00:00 PM,81.284
66442,3/01/2024 5:00:00 PM,81.642
66442,3/01/2024 6:00:00 PM,81.642
66442,3/01/2024 7:00:00 PM,79.855
66442,3/01/2024 8:00:00 PM,79.677
66442,3/01/2024 9:00:00 PM,78.791
66442,3/01/2024 10:00:00 PM,78.268
66442,3/01/2024 11:00:00 PM,77.919
66442,4/01/2024 12:00:00 AM,77.396
66442,4/01/2024 1:00:00 AM,76.873
66442,4/01/2024 2:00:00 AM,76.524
66442,4/01/2024 3:00:00 AM,76.001
66442,4/01/2024 4:00:00 AM,76.175
66442,4/01/2024 5:00:00 AM,75.129
66442,4/01/2024 6:00:00 AM,75.129
66442,4/01/2024 7:00:00 AM,75.129
66442,4/01/2024 8:00:00 AM,73.387
66442,4/01/2024 9:00:00 AM,74.084
66442,4/01/2024 10:00:00 AM,73.735
66442,4/01/2024 11:00:00 AM,74.258
66442,4/01/2024 12:00:00 PM,73.735
66442,4/01/2024 1:00:00 PM,73.909
66442,4/01/2024 2:00:00 PM,73.038
66442,4/01/2024 3:00:00 PM,73.038
66442,4/01/2024 4:00:00 PM,71.471
66442,4/01/2024 5:00:00 PM,71.471
66442,4/01/2024 6:00:00 PM,70.775
66442,4/01/2024 7:00:00 PM,70.253
66442,4/01/2024 8:00:00 PM,69.384
66442,4/01/2024 9:00:00 PM,69.557
66442,4/01/2024 10:00:00 PM,69.731
66442,4/01/2024 11:00:00 PM,67.982
66442,5/01/2024 12:00:00 AM,68.688
66442,5/01/2024 1:00:00 AM,69.036
66442,5/01/2024 2:00:00 AM,69.210
66442,5/01/2024 3:00:00 AM,68.688
66442,5/01/2024 4:00:00 AM,68.514
66442,5/01/2024 5:00:00 AM,67.982
66442,5/01/2024 6:00:00 AM,67.451
66442,5/01/2024 7:00:00 AM,68.336
66442,5/01/2024 8:00:00 AM,68.336
66442,5/01/2024 9:00:00 AM,67.982
66442,5/01/2024 10:00:00 AM,67.805
66442,5/01/2024 11:00:00 AM,67.982
66442,5/01/2024 12:00:00 PM,67.451
66442,5/01/2024 1:00:00 PM,67.805
66442,5/01/2024 2:00:00 PM,68.159
66442,5/01/2024 3:00:00 PM,68.159
66442,5/01/2024 4:00:00 PM,67.805
66442,5/01/2024 5:00:00 PM,68.688
66442,5/01/2024 6:00:00 PM,69.210
66442,5/01/2024 7:00:00 PM,69.384
66442,5/01/2024 8:00:00 PM,68.514
66442,5/01/2024 9:00:00 PM,69.036
66442,5/01/2024 10:00:00 PM,67.274
66442,5/01/2024 11:00:00 PM,67.982
66442,6/01/2024 12:00:00 AM,67.805
66442,6/01/2024 1:00:00 AM,67.628
66442,6/01/2024 2:00:00 AM,68.159
66442,6/01/2024 3:00:00 AM,67.628
66442,6/01/2024 4:00:00 AM,67.451
66442,6/01/2024 5:00:00 AM,67.982
66442,6/01/2024 6:00:00 AM,67.805
66442,6/01/2024 7:00:00 AM,67.805
66442,6/01/2024 8:00:00 AM,68.514
66442,6/01/2024 9:00:00 AM,69.036
66442,6/01/2024 10:00:00 AM,68.336
66442,6/01/2024 11:00:00 AM,69.036
66442,6/01/2024 12:00:00 PM,69.384
66442,6/01/2024 1:00:00 PM,68.862
66442,6/01/2024 2:00:00 PM,68.862
66442,6/01/2024 3:00:00 PM,68.336
66442,6/01/2024 4:00:00 PM,67.805
66442,6/01/2024 5:00:00 PM,66.921
66442,6/01/2024 6:00:00 PM,66.040
66442,6/01/2024 7:00:00 PM,65.338
66442,6/01/2024 8:00:00 PM,65.865
66442,6/01/2024 9:00:00 PM,65.338
66442,6/01/2024 10:00:00 PM,65.514
66442,6/01/2024 11:00:00 PM,65.163
66442,7/01/2024 12:00:00 AM,64.464
66442,7/01/2024 1:00:00 AM,64.289
66442,7/01/2024 2:00:00 AM,64.638
66442,7/01/2024 3:00:00 AM,64.813
66442,7/01/2024 4:00:00 AM,64.638
66442,7/01/2024 5:00:00 AM,64.464
66442,7/01/2024 6:00:00 AM,64.115
66442,7/01/2024 7:00:00 AM,63.419
66442,7/01/2024 8:00:00 AM,63.766
66442,7/01/2024 9:00:00 AM,63.245
66442,7/01/2024 10:00:00 AM,63.071
66442,7/01/2024 11:00:00 AM,63.419
66442,7/01/2024 12:00:00 PM,62.898
66442,7/01/2024 1:00:00 PM,62.724
66442,7/01/2024 2:00:00 PM,62.724
66442,7/01/2024 3:00:00 PM,61.687
66442,7/01/2024 4:00:00 PM,61.342
66442,7/01/2024 5:00:00 PM,60.998
66442,7/01/2024 6:00:00 PM,60.826
66442,7/01/2024 7:00:00 PM,59.969
66442,7/01/2024 8:00:00 PM,60.140
66442,7/01/2024 9:00:00 PM,59.285
66442,7/01/2024 10:00:00 PM,58.944
66442,7/01/2024 11:00:00 PM,59.114
66442,8/01/2024 12:00:00 AM,58.944
66442,8/01/2024 1:00:00 AM,58.944
66442,8/01/2024 2:00:00 AM,58.603
66442,8/01/2024 3:00:00 AM,58.263
66442,8/01/2024 4:00:00 AM,58.603
66442,8/01/2024 5:00:00 AM,58.773
66442,8/01/2024 6:00:00 AM,58.263
66442,8/01/2024 7:00:00 AM,57.924
66442,8/01/2024 8:00:00 AM,58.603
66442,8/01/2024 9:00:00 AM,58.093
66442,8/01/2024 10:00:00 AM,57.924
66442,8/01/2024 11:00:00 AM,57.924
66442,8/01/2024 12:00:00 PM,57.047
66442,8/01/2024 1:00:00 PM,57.047
66442,8/01/2024 2:00:00 PM,57.400
66442,8/01/2024 3:00:00 PM,56.871
66442,8/01/2024 4:00:00 PM,56.171
66442,8/01/2024 5:00:00 PM,56.345
66442,8/01/2024 6:00:00 PM,56.345
66442,8/01/2024 7:00:00 PM,55.477
66442,8/01/2024 8:00:00 PM,55.477
66442,8/01/2024 9:00:00 PM,54.618
66442,8/01/2024 10:00:00 PM,54.789
66442,8/01/2024 11:00:00 PM,54.960
66442,9/01/2024 12:00:00 AM,54.789
66442,9/01/2024 1:00:00 AM,54.447
66442,9/01/2024 2:00:00 AM,53.937
66442,9/01/2024 3:00:00 AM,53.768
66442,9/01/2024 4:00:00 AM,53.768
66442,9/01/2024 5:00:00 AM,53.937
66442,9/01/2024 6:00:00 AM,54.107
66442,9/01/2024 7:00:00 AM,53.937
66442,9/01/2024 8:00:00 AM,54.447
66442,9/01/2024 9:00:00 AM,53.937
66442,9/01/2024 10:00:00 AM,54.447
66442,9/01/2024 11:00:00 AM,54.447
66442,9/01/2024 12:00:00 PM,54.107
66442,9/01/2024 1:00:00 PM,54.107
66442,9/01/2024 2:00:00 PM,54.107
66442,9/01/2024 3:00:00 PM,53.599
66442,9/01/2024 4:00:00 PM,53.431
66442,9/01/2024 5:00:00 PM,53.095
66442,9/01/2024 6:00:00 PM,52.760
66442,9/01/2024 7:00:00 PM,52.428
66442,9/01/2024 8:00:00 PM,51.766
66442,9/01/2024 9:00:00 PM,51.602
66442,9/01/2024 10:00:00 PM,52.096
66442,9/01/2024 11:00:00 PM,51.766
66442,10/01/2024 12:00:00 AM,51.931
66442,10/01/2024 1:00:00 AM,51.602
66442,10/01/2024 2:00:00 AM,51.602
66442,10/01/2024 3:00:00 AM,51.766
66442,10/01/2024 4:00:00 AM,51.438
66442,10/01/2024 5:00:00 AM,51.274
66442,10/01/2024 6:00:00 AM,51.602
66442,10/01/2024 7:00:00 AM,51.602
66442,10/01/2024 8:00:00 AM,51.602
66442,10/01/2024 9:00:00 AM,51.602
66442,10/01/2024 10:00:00 AM,51.274
66442,10/01/2024 11:00:00 AM,51.766
66442,10/01/2024 12:00:00 PM,51.438
66442,10/01/2024 1:00:00 PM,51.602
66442,10/01/2024 2:00:00 PM,50.948
66442,10/01/2024 3:00:00 PM,50.786
66442,10/01/2024 4:00:00 PM,50.786
66442,10/01/2024 5:00:00 PM,50.139
66442,10/01/2024 6:00:00 PM,49.658
66442,10/01/2024 7:00:00 PM,49.340
66442,10/01/2024 8:00:00 PM,49.658
66442,10/01/2024 9:00:00 PM,48.865
66442,10/01/2024 10:00:00 PM,49.023
66442,10/01/2024 11:00:00 PM,48.550
66442,11/01/2024 12:00:00 AM,48.393
66442,11/01/2024 1:00:00 AM,48.393
66442,11/01/2024 2:00:00 AM,48.393
66442,11/01/2024 3:00:00 AM,48.550
66442,11/01/2024 4:00:00 AM,48.393
66442,11/01/2024 5:00:00 AM,48.236
66442,11/01/2024 6:00:00 AM,48.865
66442,11/01/2024 7:00:00 AM,48.236
66442,11/01/2024 8:00:00 AM,48.393
66442,11/01/2024 9:00:00 AM,48.550
66442,11/01/2024 10:00:00 AM,48.236
66442,11/01/2024 11:00:00 AM,46.691
66442,11/01/2024 12:00:00 PM,47.924
66442,11/01/2024 1:00:00 PM,46.993
66442,11/01/2024 2:00:00 PM,47.769
66442,11/01/2024 3:00:00 PM,47.459
66442,11/01/2024 4:00:00 PM,46.993
66442,11/01/2024 5:00:00 PM,46.356
66442,11/01/2024 6:00:00 PM,46.356
66442,11/01/2024 7:00:00 PM,46.356
66442,11/01/2024 8:00:00 PM,46.025
66442,11/01/2024 9:00:00 PM,45.860
66442,11/01/2024 10:00:00 PM,45.534
66442,11/01/2024 11:00:00 PM,45.534
66442,12/01/2024 12:00:00 AM,45.372
66442,12/01/2024 1:00:00 AM,45.697
66442,12/01/2024 2:00:00 AM,45.534
