Site_no,DateTime,Value
66602,0100,2.182
66602,0101,2.029
66602,0102,1.928
66602,0103,1.897
66602,0104,1.844
66602,0105,1.813
66602,0106,1.797
66602,0107,1.789
66602,0108,1.789
66602,0109,1.788
66602,0110,1.780
66602,0111,1.772
66602,0124,1.771
66602,0113,1.778
66602,0114,1.777
66602,0115,1.784
66602,0116,1.790
66602,0117,1.804
66602,0118,1.819
66602,0119,1.825
66602,0120,1.825
66602,0121,1.824
66602,0122,1.816
66602,0123,1.808
66602,0200,1.799
66602,0201,1.791
66602,0202,1.791
66602,0203,1.790
66602,0204,1.789
66602,0205,1.796
66602,0206,1.795
66602,0207,1.794
66602,0208,1.794
66602,0209,1.793
66602,0210,1.800
66602,0211,1.792
66602,0224,1.784
66602,0213,1.790
66602,0214,1.797
66602,0215,1.811
66602,0216,1.833
66602,0217,1.854
66602,0218,1.876
66602,0219,1.875
66602,0220,1.867
66602,0221,1.866
66602,0222,1.858
66602,0223,1.857
66602,0300,1.902
66602,0301,1.962
66602,0302,1.985
66602,0303,2.015
66602,0304,2.030
66602,0305,2.006
66602,0306,1.982
66602,0307,1.942
66602,0308,1.873
66602,0309,1.843
66602,0310,1.842
66602,0311,1.834
66602,0324,1.871
66602,0313,1.847
66602,0314,1.832
66602,0315,1.868
66602,0316,1.830
66602,0317,1.889
66602,0318,1.896
66602,0319,1.873
66602,0320,1.865
66602,0321,1.864
66602,0322,1.863
66602,0323,1.855
66602,0400,1.847
66602,0401,1.839
66602,0402,1.838
66602,0403,1.830
66602,0404,1.821
66602,0405,1.821
66602,0406,1.820
66602,0407,1.819
66602,0408,1.826
66602,0409,1.818
66602,0410,1.810
66602,0411,1.831
66602,0424,1.823
66602,0413,1.822
66602,0414,1.881
66602,0415,1.896
66602,0416,1.903
66602,0417,1.963
66602,0418,1.993
66602,0419,1.961
66602,0420,1.945
66602,0421,1.937
66602,0422,1.929
66602,0423,1.905
66602,0500,1.889
66602,0501,1.881
66602,0502,1.873
66602,0503,1.857
66602,0504,1.856
66602,0505,1.848
66602,0506,1.840
66602,0507,1.839
66602,0508,1.823
66602,0509,1.823
66602,0510,2.186
66602,0511,2.373
66602,0524,2.706
66602,0513,3.468
66602,0514,3.612
66602,0515,3.090
66602,0516,2.693
66602,0517,2.657
66602,0518,2.815
66602,0519,2.985
66602,0520,3.140
66602,0521,2.768
66602,0522,2.430
66602,0523,2.248
66602,0600,2.142
66602,0601,2.070
66602,0602,2.007
66602,0603,1.968
66602,0604,1.936
66602,0605,1.913
66602,0606,1.897
66602,0607,1.881
66602,0608,1.865
66602,0609,1.857
66602,0610,1.849
66602,0611,1.841
66602,0624,1.840
66602,0613,1.832
66602,0614,1.824
66602,0615,1.823
66602,0616,1.822
66602,0617,1.822
66602,0618,1.821
66602,0619,1.820
66602,0620,1.827
66602,0621,1.826
66602,0622,1.818
66602,0623,1.817
66602,0700,1.802
66602,0701,1.794
66602,0702,1.793
66602,0703,1.792
66602,0704,1.784
66602,0705,1.783
66602,0706,1.783
66602,0707,1.782
66602,0708,1.781
66602,0709,1.780
66602,0710,1.780
66602,0711,1.779
66602,0724,1.771
66602,0713,1.777
66602,0714,1.777
66602,0715,1.776
66602,0716,1.790
66602,0717,1.804
66602,0718,1.818
66602,0719,1.825
66602,0720,1.824
66602,0721,1.823
66602,0722,1.815
66602,0723,1.800
66602,0800,1.791
66602,0801,1.783
66602,0802,1.775
66602,0803,1.767
66602,0804,1.766
66602,0805,1.766
66602,0806,1.765
66602,0807,1.764
66602,0808,1.771
66602,0809,1.748
66602,0810,1.740
66602,0811,1.798
66602,0824,1.805
66602,0813,1.782
66602,0814,1.796
66602,0815,1.817
66602,0816,1.839
66602,0817,1.845
66602,0818,1.860
66602,0819,1.866
66602,0820,1.865
66602,0821,1.865
66602,0822,1.849
66602,0823,1.833
66602,0900,1.825
66602,0901,1.810
66602,0902,1.802
66602,0903,1.801
66602,0904,1.786
66602,0905,1.785
66602,0906,1.777
66602,0907,1.776
66602,0908,1.761
66602,0909,1.760
66602,0910,1.760
66602,0911,1.775
66602,0924,1.767
66602,0913,1.716
66602,0914,1.804
66602,0915,1.804
66602,0916,1.797
66602,0917,1.848
66602,0918,1.871
66602,0919,1.863
66602,0920,1.856
66602,0921,1.856
66602,0922,1.848
66602,0923,1.833
66602,1000,1.819
66602,1001,1.811
66602,1002,1.804
66602,1003,1.797
66602,1004,1.789
66602,1005,1.789
66602,1006,1.789
66602,1007,1.782
66602,1008,1.782
66602,1009,1.775
66602,1010,1.789
66602,1011,1.767
66602,1024,1.767
66602,1013,1.804
66602,1014,1.811
66602,1015,1.848
66602,1016,1.848
66602,1017,1.886
66602,1018,1.886
66602,1019,1.878
66602,1020,1.878
66602,1021,1.871
66602,1022,1.863
66602,1023,1.856
66602,1100,1.848
66602,1101,1.833
66602,1102,1.833
66602,1103,1.826
