Site_no,DateTime,Value
66612,0100,0.992
66612,0101,1.022
66612,0102,1.010
66612,0103,0.990
66612,0104,0.979
66612,0105,0.962
66612,0106,0.955
66612,0107,0.944
66612,0108,0.940
66612,0109,0.937
66612,0110,0.936
66612,0111,0.939
66612,0124,0.939
66612,0113,0.935
66612,0114,0.931
66612,0115,0.931
66612,0116,0.927
66612,0117,0.927
66612,0118,0.923
66612,0119,0.923
66612,0120,0.923
66612,0121,0.922
66612,0122,0.925
66612,0123,0.928
66612,0200,0.932
66612,0201,0.931
66612,0202,0.934
66612,0203,0.934
66612,0204,0.934
66612,0205,0.937
66612,0206,0.940
66612,0207,0.936
66612,0208,0.939
66612,0209,0.932
66612,0210,0.932
66612,0211,0.924
66612,0224,0.924
66612,0213,0.924
66612,0214,0.923
66612,0215,0.923
66612,0216,0.923
66612,0217,0.919
66612,0218,0.922
66612,0219,0.925
66612,0220,0.925
66612,0221,0.918
66612,0222,0.917
66612,0223,0.917
66612,0300,0.930
66612,0301,0.963
66612,0302,0.996
66612,0303,0.988
66612,0304,0.980
66612,0305,0.969
66612,0306,0.958
66612,0307,0.948
66612,0308,0.937
66612,0309,0.930
66612,0310,0.927
66612,0311,0.923
66612,0324,0.923
66612,0313,0.926
66612,0314,0.925
66612,0315,0.928
66612,0316,0.931
66612,0317,0.928
66612,0318,0.927
66612,0319,0.927
66612,0320,0.927
66612,0321,0.926
66612,0322,0.926
66612,0323,0.926
66612,0400,0.929
66612,0401,0.932
66612,0402,0.944
66612,0403,0.941
66612,0404,0.940
66612,0405,0.937
66612,0406,0.940
66612,0407,0.939
66612,0408,0.939
66612,0409,0.932
66612,0410,0.929
66612,0411,0.925
66612,0424,0.921
66612,0413,0.924
66612,0414,0.927
66612,0415,0.927
66612,0416,0.926
66612,0417,0.923
66612,0418,0.919
66612,0419,0.919
66612,0420,0.915
66612,0421,0.912
66612,0422,0.918
66612,0423,0.918
66612,0500,0.924
66612,0501,0.927
66612,0502,0.926
66612,0503,0.929
66612,0504,0.932
66612,0505,0.932
66612,0506,0.934
66612,0507,0.928
66612,0508,0.924
66612,0509,0.917
66612,0510,0.933
66612,0511,0.960
66612,0524,1.137
66612,0513,1.858
66612,0514,2.623
66612,0515,2.211
66612,0516,1.724
66612,0517,1.498
66612,0518,1.277
66612,0519,1.174
66612,0520,1.173
66612,0521,1.177
66612,0522,1.112
66612,0523,1.086
66612,0600,1.069
66612,0601,1.057
66612,0602,1.040
66612,0603,1.032
66612,0604,1.027
66612,0605,1.023
66612,0606,1.019
66612,0607,1.014
66612,0608,1.002
66612,0609,0.990
66612,0610,0.982
66612,0611,0.974
66612,0624,0.966
66612,0613,0.955
66612,0614,0.951
66612,0615,0.954
66612,0616,0.939
66612,0617,0.950
66612,0618,0.964
66612,0619,0.952
66612,0620,0.941
66612,0621,0.934
66612,0622,0.930
66612,0623,0.929
66612,0700,0.929
66612,0701,0.932
66612,0702,0.935
66612,0703,0.939
66612,0704,0.942
66612,0705,0.942
66612,0706,0.941
66612,0707,0.937
66612,0708,0.937
66612,0709,0.933
66612,0710,0.925
66612,0711,0.922
66612,0724,0.915
66612,0713,0.912
66612,0714,0.912
66612,0715,0.908
66612,0716,0.911
66612,0717,0.908
66612,0718,0.907
66612,0719,0.907
66612,0720,0.903
66612,0721,0.897
66612,0722,0.896
66612,0723,0.893
66612,0800,0.899
66612,0801,0.902
66612,0802,0.908
66612,0803,0.910
66612,0804,0.913
66612,0805,0.913
66612,0806,0.912
66612,0807,0.915
66612,0808,0.908
66612,0809,0.905
66612,0810,0.902
66612,0811,0.898
66612,0824,0.895
66612,0813,0.898
66612,0814,0.897
66612,0815,0.897
66612,0816,0.900
66612,0817,0.899
66612,0818,0.899
66612,0819,0.895
66612,0820,0.895
66612,0821,0.895
66612,0822,0.894
66612,0823,0.891
66612,0900,0.897
66612,0901,0.899
66612,0902,0.905
66612,0903,0.908
66612,0904,0.907
66612,0905,0.907
66612,0906,0.910
66612,0907,0.903
66612,0908,0.897
66612,0909,0.888
66612,0910,0.879
66612,0911,0.879
66612,0924,0.875
66612,0913,0.872
66612,0914,0.872
66612,0915,0.872
66612,0916,0.872
66612,0917,0.872
66612,0918,0.875
66612,0919,0.872
66612,0920,0.872
66612,0921,0.872
66612,0922,0.869
66612,0923,0.875
66612,1000,0.879
66612,1001,0.885
66612,1002,0.888
66612,1003,0.891
66612,1004,0.891
66612,1005,0.894
66612,1006,0.894
66612,1007,0.891
66612,1008,0.888
66612,1009,0.882
66612,1010,0.879
66612,1011,0.879
66612,1024,0.891
66612,1013,0.885
66612,1014,0.885
66612,1015,0.882
66612,1016,0.882
66612,1017,0.882
66612,1018,0.888
66612,1019,0.891
66612,1020,0.894
66612,1021,0.888
66612,1022,0.891
66612,1023,0.894
66612,1100,0.906
66612,1101,0.909
66612,1102,0.909
66612,1103,0.916
66612,1104,0.916
66612,1105,0.916
66612,1106,0.916
66612,1107,0.916
66612,1108,0.912
66612,1109,0.906
66612,1110,0.903
66612,1111,0.894
66612,1124,0.891
66612,1113,0.882
66612,1114,0.885
66612,1115,0.879
66612,1116,0.882
66612,1117,0.882
66612,1118,0.875
66612,1119,0.879
66612,1120,0.875
66612,1121,0.872
66612,1122,0.869
66612,1123,0.866
66612,1200,0.863
66612,1201,0.869
66612,1202,0.872
66612,1203,0.875
66612,1204,0.882
66612,1205,0.885
66612,1206,0.885
66612,1207,0.882
66612,1208,0.885
66612,1209,0.882
66612,1210,0.875
66612,1211,0.872
66612,1224,0.879
66612,1213,0.885
66612,1214,0.888
66612,1215,0.882
66612,1216,0.882
66612,1217,0.875
66612,1218,0.879
66612,1219,0.875
66612,1220,0.875
66612,1221,0.875
66612,1222,0.875
66612,1223,0.879
66612,1300,0.882
66612,1301,0.885
66612,1302,0.891
66612,1303,0.894
66612,1304,0.894
66612,1305,0.897
66612,1306,0.900
66612,1307,0.897
66612,1308,0.897
66612,1309,0.900
66612,1310,0.897
66612,1311,0.891
66612,1324,0.894
66612,1313,0.894
66612,1314,0.894
66612,1315,0.897
66612,1316,0.903
66612,1317,0.900
66612,1318,0.897
66612,1319,0.894
66612,1320,0.891
66612,1321,0.894
66612,1322,0.894
66612,1323,0.891
66612,1400,0.894
66612,1401,0.897
66612,1402,0.900
66612,1403,0.903
66612,1404,0.906
66612,1405,0.903
66612,1406,0.900
66612,1407,0.900
66612,1408,0.894
66612,1409,0.900
66612,1410,0.923
66612,1411,0.916
66612,1424,0.903
66612,1413,0.900
66612,1414,0.897
66612,1415,0.897
66612,1416,0.900
66612,1417,0.903
66612,1418,0.903
66612,1419,0.897
66612,1420,0.897
66612,1421,0.894
66612,1422,0.897
66612,1423,0.900
66612,1500,0.900
66612,1501,0.903
66612,1502,0.903
66612,1503,0.906
66612,1504,0.909
66612,1505,0.909
66612,1506,0.909
66612,1507,0.909
66612,1508,0.927
66612,1509,1.397
66612,1510,2.885
66612,1511,3.527
66612,1524,3.608
66612,1513,3.219
66612,1514,2.613
66612,1515,2.064
66612,1516,1.671
66612,1517,1.434
66612,1518,1.317
66612,1519,1.255
66612,1520,1.220
66612,1521,1.198
66612,1522,1.198
66612,1523,1.180
66612,1600,1.140
66612,1601,1.119
66612,1602,1.106
66612,1603,1.097
66612,1604,1.089
66612,1605,1.089
66612,1606,1.080
66612,1607,1.080
66612,1608,1.072
66612,1609,1.064
66612,1610,1.060
66612,1611,1.089
66612,1624,1.068
66612,1613,1.051
66612,1614,1.043
66612,1615,1.043
66612,1616,1.060
66612,1617,1.080
66612,1618,1.072
66612,1619,1.060
66612,1620,1.060
66612,1621,1.051
66612,1622,1.047
66612,1623,1.051
66612,1700,1.064
66612,1701,1.072
66612,1702,1.068
66612,1703,1.068
66612,1704,1.060
66612,1705,1.051
66612,1706,1.047
66612,1707,1.039
66612,1708,1.031
66612,1709,1.027
66612,1710,1.019
66612,1711,1.031
66612,1724,1.060
66612,1713,1.060
66612,1714,1.043
66612,1715,1.027
66612,1716,1.019
66612,1717,1.015
66612,1718,1.003
66612,1719,0.991
66612,1720,0.987
66612,1721,0.983
66612,1722,0.979
66612,1723,0.979
66612,1800,0.983
66612,1801,0.991
66612,1802,0.995
66612,1803,0.991
66612,1804,0.987
66612,1805,0.987
66612,1806,0.987
66612,1807,0.979
66612,1808,0.975
66612,1809,0.987
66612,1810,0.983
66612,1811,0.987
66612,1824,0.983
66612,1813,0.991
66612,1814,0.991
66612,1815,0.987
66612,1816,0.987
66612,1817,0.987
66612,1818,0.979
66612,1819,0.968
66612,1820,0.964
66612,1821,0.968
66612,1822,0.971
66612,1823,0.979
66612,1900,0.979
66612,1901,0.983
66612,1902,0.987
66612,1903,0.987
66612,1904,0.987
66612,1905,0.987
66612,1906,0.987
66612,1907,0.975
66612,1908,0.968
66612,1909,0.964
66612,1910,0.960
66612,1911,0.956
66612,1924,0.960
66612,1913,0.960
66612,1914,0.964
66612,1915,0.971
66612,1916,0.971
66612,1917,0.968
66612,1918,0.956
66612,1919,0.945
66612,1920,0.934
66612,1921,0.934
66612,1922,0.934
66612,1923,0.938
66612,2000,0.945
66612,2001,0.949
66612,2002,0.956
66612,2003,0.971
66612,2004,0.975
66612,2005,0.975
66612,2006,0.971
66612,2007,0.971
66612,2008,0.964
66612,2009,0.960
66612,2010,0.949
66612,2011,0.941
66612,2024,0.938
66612,2013,0.934
66612,2014,0.938
66612,2015,0.930
66612,2016,0.930
66612,2017,0.930
66612,2018,0.934
66612,2019,0.930
66612,2020,0.930
66612,2021,0.927
66612,2022,0.927
66612,2023,0.927
66612,2100,0.927
66612,2101,0.938
66612,2102,0.945
66612,2103,0.949
66612,2104,0.960
66612,2105,0.964
66612,2106,0.964
66612,2107,0.960
66612,2108,0.956
66612,2109,0.952
66612,2110,0.949
66612,2111,0.949
66612,2124,0.952
66612,2113,0.956
66612,2114,0.960
66612,2115,0.960
66612,2116,0.964
66612,2117,0.964
