Site_no,DateTime,Value
66442,0100,223.335
66442,0101,218.913
66442,0102,213.226
66442,0103,201.649
66442,0104,198.468
66442,0105,189.539
66442,0106,182.187
66442,0107,178.539
66442,0108,176.948
66442,0109,168.808
66442,0110,164.332
66442,0111,161.220
66442,0124,156.587
66442,0113,151.539
66442,0114,148.710
66442,0115,146.550
66442,0116,142.268
66442,0117,139.304
66442,0118,136.779
66442,0119,133.233
66442,0120,130.963
66442,0121,127.493
66442,0122,125.071
66442,0123,122.507
66442,0200,119.191
66442,0201,118.018
66442,0202,116.647
66442,0203,115.470
66442,0204,113.110
66442,0205,111.505
66442,0206,110.107
66442,0207,108.715
66442,0208,107.923
66442,0209,105.558
66442,0210,104.774
66442,0211,104.187
66442,0224,103.414
66442,0213,102.850
66442,0214,102.474
66442,0215,100.766
66442,0216,98.843
66442,0217,98.456
66442,0218,96.698
66442,0219,95.294
66442,0220,93.844
66442,0221,92.217
66442,0222,92.217
66442,0223,91.216
66442,0300,90.227
66442,0301,89.087
66442,0302,89.087
66442,0303,87.619
66442,0304,87.436
66442,0305,86.706
66442,0306,86.524
66442,0307,86.341
66442,0308,84.887
66442,0309,85.432
66442,0310,85.069
66442,0311,83.982
66442,0324,83.621
66442,0313,83.260
66442,0314,82.720
66442,0315,82.540
66442,0316,81.284
66442,0317,81.642
66442,0318,81.642
66442,0319,79.855
66442,0320,79.677
66442,0321,78.791
66442,0322,78.268
66442,0323,77.919
66442,0400,77.396
66442,0401,76.873
66442,0402,76.524
66442,0403,76.001
66442,0404,76.175
66442,0405,75.129
66442,0406,75.129
66442,0407,75.129
66442,0408,73.387
66442,0409,74.084
66442,0410,73.735
66442,0411,74.258
66442,0424,73.735
66442,0413,73.909
66442,0414,73.038
66442,0415,73.038
66442,0416,71.471
66442,0417,71.471
66442,0418,70.775
66442,0419,70.253
66442,0420,69.384
66442,0421,69.557
66442,0422,69.731
66442,0423,67.982
66442,0500,68.688
66442,0501,69.036
66442,0502,69.210
66442,0503,68.688
66442,0504,68.514
66442,0505,67.982
66442,0506,67.451
66442,0507,68.336
66442,0508,68.336
66442,0509,67.982
66442,0510,67.805
66442,0511,67.982
66442,0524,67.451
66442,0513,67.805
66442,0514,68.159
66442,0515,68.159
66442,0516,67.805
66442,0517,68.688
66442,0518,69.210
66442,0519,69.384
66442,0520,68.514
66442,0521,69.036
66442,0522,67.274
66442,0523,67.982
66442,0600,67.805
66442,0601,67.628
66442,0602,68.159
66442,0603,67.628
66442,0604,67.451
66442,0605,67.982
66442,0606,67.805
66442,0607,67.805
66442,0608,68.514
66442,0609,69.036
66442,0610,68.336
66442,0611,69.036
66442,0624,69.384
66442,0613,68.862
66442,0614,68.862
66442,0615,68.336
66442,0616,67.805
66442,0617,66.921
66442,0618,66.040
66442,0619,65.338
66442,0620,65.865
66442,0621,65.338
66442,0622,65.514
66442,0623,65.163
66442,0700,64.464
66442,0701,64.289
66442,0702,64.638
66442,0703,64.813
66442,0704,64.638
66442,0705,64.464
66442,0706,64.115
66442,0707,63.419
66442,0708,63.766
66442,0709,63.245
66442,0710,63.071
66442,0711,63.419
66442,0724,62.898
66442,0713,62.724
66442,0714,62.724
66442,0715,61.687
66442,0716,61.342
66442,0717,60.998
66442,0718,60.826
66442,0719,59.969
66442,0720,60.140
66442,0721,59.285
66442,0722,58.944
66442,0723,59.114
66442,0800,58.944
66442,0801,58.944
66442,0802,58.603
66442,0803,58.263
66442,0804,58.603
66442,0805,58.773
66442,0806,58.263
66442,0807,57.924
66442,0808,58.603
66442,0809,58.093
66442,0810,57.924
66442,0811,57.924
66442,0824,57.047
66442,0813,57.047
66442,0814,57.400
66442,0815,56.871
66442,0816,56.171
66442,0817,56.345
66442,0818,56.345
66442,0819,55.477
66442,0820,55.477
66442,0821,54.618
66442,0822,54.789
66442,0823,54.960
66442,0900,54.789
66442,0901,54.447
66442,0902,53.937
66442,0903,53.768
66442,0904,53.768
66442,0905,53.937
66442,0906,54.107
66442,0907,53.937
66442,0908,54.447
66442,0909,53.937
66442,0910,54.447
66442,0911,54.447
66442,0924,54.107
66442,0913,54.107
66442,0914,54.107
66442,0915,53.599
66442,0916,53.431
66442,0917,53.095
66442,0918,52.760
66442,0919,52.428
66442,0920,51.766
66442,0921,51.602
66442,0922,52.096
66442,0923,51.766
66442,1000,51.931
66442,1001,51.602
66442,1002,51.602
66442,1003,51.766
66442,1004,51.438
66442,1005,51.274
66442,1006,51.602
66442,1007,51.602
66442,1008,51.602
66442,1009,51.602
66442,1010,51.274
66442,1011,51.766
66442,1024,51.438
66442,1013,51.602
66442,1014,50.948
66442,1015,50.786
66442,1016,50.786
66442,1017,50.139
66442,1018,49.658
66442,1019,49.340
66442,1020,49.658
66442,1021,48.865
66442,1022,49.023
66442,1023,48.550
66442,1100,48.393
66442,1101,48.393
66442,1102,48.393
66442,1103,48.550
66442,1104,48.393
66442,1105,48.236
66442,1106,48.865
66442,1107,48.236
66442,1108,48.393
66442,1109,48.550
66442,1110,48.236
66442,1111,46.691
66442,1124,47.924
66442,1113,46.993
66442,1114,47.769
66442,1115,47.459
66442,1116,46.993
66442,1117,46.356
66442,1118,46.356
66442,1119,46.356
66442,1120,46.025
66442,1121,45.860
66442,1122,45.534
66442,1123,45.534
66442,1200,45.372
66442,1201,45.697
66442,1202,45.534
66442,1203,45.697
66442,1204,46.025
66442,1205,46.025
66442,1206,45.697
66442,1207,46.025
66442,1208,46.190
66442,1209,46.523
66442,1210,46.190
66442,1211,46.190
66442,1224,46.691
66442,1213,46.691
66442,1214,46.190
66442,1215,46.190
66442,1216,46.025
66442,1217,46.025
66442,1218,45.534
66442,1219,45.050
66442,1220,45.211
66442,1221,44.417
66442,1222,44.574
66442,1223,44.260
66442,1300,44.105
66442,1301,44.260
66442,1302,44.105
66442,1303,44.260
66442,1304,44.260
66442,1305,44.574
66442,1306,44.574
66442,1307,44.732
66442,1308,44.417
66442,1309,44.417
66442,1310,44.891
66442,1311,44.891
66442,1324,44.732
66442,1313,44.105
66442,1314,44.260
66442,1315,44.417
66442,1316,44.105
66442,1317,43.643
66442,1318,43.339
66442,1319,43.039
66442,1320,42.890
66442,1321,42.742
66442,1322,42.890
66442,1323,42.890
66442,1400,42.742
66442,1401,42.594
66442,1402,42.594
66442,1403,43.039
66442,1404,43.039
66442,1405,43.339
66442,1406,43.339
66442,1407,43.643
66442,1408,42.890
66442,1409,43.189
66442,1410,43.039
66442,1411,43.339
66442,1424,43.189
66442,1413,43.039
66442,1414,43.189
66442,1415,42.890
66442,1416,43.189
66442,1417,42.448
66442,1418,43.189
66442,1419,43.491
66442,1420,43.950
66442,1421,44.105
66442,1422,44.260
66442,1423,44.891
66442,1500,45.050
66442,1501,45.697
66442,1502,47.305
66442,1503,48.236
66442,1504,50.786
66442,1505,52.760
66442,1506,55.132
66442,1507,55.823
66442,1508,56.345
66442,1509,57.047
66442,1510,57.223
66442,1511,57.047
66442,1524,57.047
66442,1513,57.047
66442,1514,57.047
66442,1515,56.695
66442,1516,56.695
66442,1517,56.520
66442,1518,55.650
66442,1519,55.304
66442,1520,54.789
66442,1521,54.107
66442,1522,53.431
66442,1523,53.768
66442,1600,52.927
66442,1601,53.431
66442,1602,52.760
66442,1603,52.262
66442,1604,52.262
66442,1605,52.096
66442,1606,51.766
66442,1607,51.274
66442,1608,51.274
66442,1609,51.602
66442,1610,50.786
66442,1611,50.462
66442,1624,50.300
66442,1613,49.818
66442,1614,50.139
66442,1615,49.499
66442,1616,48.707
66442,1617,48.707
66442,1618,48.550
66442,1619,47.924
66442,1620,47.769
66442,1621,47.144
66442,1622,47.144
66442,1623,46.993
66442,1700,46.691
66442,1701,46.842
66442,1702,46.993
66442,1703,46.691
66442,1704,46.691
66442,1705,46.691
66442,1706,46.523
66442,1707,46.190
66442,1708,46.356
66442,1709,46.356
66442,1710,46.356
66442,1711,46.190
66442,1724,46.356
66442,1713,45.697
66442,1714,44.732
66442,1715,45.697
66442,1716,45.372
66442,1717,44.891
66442,1718,44.732
66442,1719,44.417
66442,1720,44.417
66442,1721,44.417
66442,1722,43.950
66442,1723,43.950
66442,1800,44.260
66442,1801,43.950
66442,1802,43.643
66442,1803,43.796
66442,1804,43.950
66442,1805,44.105
66442,1806,43.950
66442,1807,44.105
66442,1808,44.574
66442,1809,44.574
66442,1810,44.732
66442,1811,45.211
66442,1824,45.372
66442,1813,45.860
66442,1814,45.372
66442,1815,45.372
66442,1816,46.190
66442,1817,46.190
