Site_no,DateTime,Value
66401,0100,416.736
66401,0101,407.232
66401,0102,380.165
66401,0103,364.941
66401,0104,336.666
66401,0105,311.933
66401,0106,297.222
66401,0107,281.701
66401,0108,271.357
66401,0109,259.897
66401,0110,249.028
66401,0111,236.297
66401,0124,224.614
66401,0113,213.076
66401,0114,206.277
66401,0115,195.666
66401,0116,188.968
66401,0117,179.356
66401,0118,171.858
66401,0119,166.666
66401,0120,159.462
66401,0121,156.214
66401,0122,151.174
66401,0123,146.658
66401,0200,142.394
66401,0201,137.452
66401,0202,135.067
66401,0203,131.443
66401,0204,128.185
66401,0205,124.563
66401,0206,120.560
66401,0207,119.494
66401,0208,116.277
66401,0209,113.434
66401,0210,112.761
66401,0211,109.412
66401,0224,106.183
66401,0213,105.380
66401,0214,103.528
66401,0215,104.503
66401,0216,101.251
66401,0217,99.668
66401,0218,98.449
66401,0219,96.142
66401,0220,93.814
66401,0221,90.666
66401,0222,90.547
66401,0223,89.619
66401,0300,90.423
66401,0301,89.788
66401,0302,89.846
66401,0303,88.203
66401,0304,86.480
66401,0305,83.876
66401,0306,83.428
66401,0307,82.001
66401,0308,81.148
66401,0309,80.180
66401,0310,80.485
66401,0311,79.367
66401,0324,78.342
66401,0313,77.024
66401,0314,75.797
66401,0315,75.081
66401,0316,74.410
66401,0317,73.458
66401,0318,72.045
66401,0319,71.533
66401,0320,71.326
66401,0321,70.326
66401,0322,70.543
66401,0323,69.582
66401,0400,69.361
66401,0401,68.897
66401,0402,67.978
66401,0403,68.052
66401,0404,67.337
66401,0405,67.058
66401,0406,66.189
66401,0407,65.409
66401,0408,65.428
66401,0409,64.956
66401,0410,64.899
66401,0411,64.744
66401,0424,63.688
66401,0413,63.199
66401,0414,62.686
66401,0415,61.792
66401,0416,60.957
66401,0417,60.780
66401,0418,59.790
66401,0419,60.431
66401,0420,60.085
66401,0421,59.476
66401,0422,59.224
66401,0423,59.302
66401,0500,59.414
66401,0501,58.726
66401,0502,57.786
66401,0503,57.822
66401,0504,57.486
66401,0505,56.867
66401,0506,56.564
66401,0507,55.850
66401,0508,55.759
66401,0509,55.508
66401,0510,55.448
66401,0511,56.531
66401,0524,56.965
66401,0513,56.642
66401,0514,56.448
66401,0515,56.047
66401,0516,56.320
66401,0517,56.453
66401,0518,55.851
66401,0519,56.106
66401,0520,56.197
66401,0521,57.220
66401,0522,57.042
66401,0523,57.057
66401,0600,57.817
66401,0601,56.290
66401,0602,56.002
66401,0603,56.018
66401,0604,56.722
66401,0605,57.017
66401,0606,56.989
66401,0607,57.182
66401,0608,57.369
66401,0609,57.447
66401,0610,57.870
66401,0611,58.391
66401,0624,58.277
66401,0613,58.633
66401,0614,57.454
66401,0615,56.994
66401,0616,57.141
66401,0617,56.416
66401,0618,56.091
66401,0619,55.388
66401,0620,55.621
66401,0621,55.469
66401,0622,55.670
66401,0623,55.979
66401,0700,56.467
66401,0701,56.475
66401,0702,56.384
66401,0703,55.753
66401,0704,55.916
66401,0705,55.961
66401,0706,55.349
66401,0707,54.879
66401,0708,54.649
66401,0709,54.431
66401,0710,54.130
66401,0711,53.795
66401,0724,53.659
66401,0713,53.429
66401,0714,52.972
66401,0715,52.050
66401,0716,51.473
66401,0717,51.682
66401,0718,51.081
66401,0719,50.956
66401,0720,50.880
66401,0721,50.858
66401,0722,50.861
66401,0723,50.646
66401,0800,50.308
66401,0801,50.235
66401,0802,50.090
66401,0803,49.251
66401,0804,49.297
66401,0805,49.512
66401,0806,49.268
66401,0807,48.991
66401,0808,48.336
66401,0809,48.358
66401,0810,48.361
66401,0811,47.250
66401,0824,46.960
66401,0813,46.622
66401,0814,46.905
66401,0815,46.096
66401,0816,45.673
66401,0817,45.433
66401,0818,45.020
66401,0819,44.913
66401,0820,44.590
66401,0821,44.304
66401,0822,43.933
66401,0823,43.505
66401,0900,43.463
66401,0901,43.037
66401,0902,43.892
66401,0903,43.923
66401,0904,42.174
66401,0905,41.561
66401,0906,41.421
66401,0907,40.896
66401,0908,40.778
66401,0909,41.921
66401,0910,40.313
66401,0911,39.441
66401,0924,39.202
66401,0913,38.900
66401,0914,38.645
66401,0915,38.489
66401,0916,37.751
66401,0917,37.653
66401,0918,37.501
66401,0919,37.020
66401,0920,36.981
66401,0921,36.876
66401,0922,36.410
66401,0923,36.459
66401,1000,36.280
66401,1001,36.302
66401,1002,36.377
66401,1003,37.100
66401,1004,36.769
66401,1005,36.504
66401,1006,35.936
66401,1007,35.766
66401,1008,35.804
66401,1009,35.516
66401,1010,36.140
66401,1011,36.365
66401,1024,36.596
66401,1013,36.793
66401,1014,36.955
66401,1015,37.978
66401,1016,38.438
66401,1017,36.995
66401,1018,36.724
66401,1019,36.487
66401,1020,36.565
66401,1021,36.770
66401,1022,36.763
66401,1023,36.908
66401,1100,36.962
66401,1101,37.174
66401,1102,37.168
66401,1103,37.391
66401,1104,42.548
66401,1105,41.902
66401,1106,37.253
66401,1107,36.667
66401,1108,36.549
66401,1109,36.629
66401,1110,37.222
66401,1111,38.052
66401,1124,38.975
66401,1113,38.717
66401,1114,38.787
66401,1115,38.448
66401,1116,40.131
66401,1117,40.109
66401,1118,38.850
66401,1119,38.186
66401,1120,37.973
66401,1121,38.208
66401,1122,38.319
66401,1123,38.384
66401,1200,38.434
66401,1201,38.695
66401,1202,38.606
66401,1203,38.899
66401,1204,43.315
66401,1205,47.989
66401,1206,42.502
66401,1207,39.536
66401,1208,39.078
66401,1209,38.667
66401,1210,38.910
66401,1211,38.666
66401,1224,38.519
66401,1213,38.439
66401,1214,37.956
66401,1215,38.156
66401,1216,38.051
66401,1217,43.912
66401,1218,40.272
66401,1219,37.630
66401,1220,37.625
66401,1221,37.468
66401,1222,37.637
66401,1223,37.541
66401,1300,37.997
66401,1301,38.128
66401,1302,38.135
66401,1303,38.184
66401,1304,38.352
66401,1305,45.468
66401,1306,56.545
66401,1307,45.024
66401,1308,38.381
66401,1309,37.955
66401,1310,38.230
66401,1311,37.838
66401,1324,37.700
66401,1313,37.649
66401,1314,37.419
66401,1315,37.287
66401,1316,37.143
66401,1317,40.686
66401,1318,47.241
66401,1319,48.315
66401,1320,38.134
66401,1321,37.052
