Site_no,DateTime,Value
65909,0100,0.444
65909,0101,0.445
65909,0102,0.449
65909,0103,0.447
65909,0104,0.446
65909,0105,0.447
65909,0106,0.450
65909,0107,0.450
65909,0108,0.454
65909,0109,0.433
65909,0110,0.432
65909,0111,0.427
65909,0124,0.424
65909,0113,0.426
65909,0114,0.429
65909,0115,0.432
65909,0116,0.434
65909,0117,0.434
65909,0118,0.434
65909,0119,0.438
65909,0120,0.436
65909,0121,0.434
65909,0122,0.433
65909,0123,0.434
65909,0200,0.430
65909,0201,0.427
65909,0202,0.427
65909,0203,0.427
65909,0204,0.427
65909,0205,0.429
65909,0206,0.428
65909,0207,0.427
65909,0208,0.427
65909,0209,0.421
65909,0210,0.406
65909,0211,0.403
65909,0224,0.403
65909,0213,0.409
65909,0214,0.407
65909,0215,0.399
65909,0216,0.414
65909,0217,0.414
65909,0218,0.403
65909,0219,0.410
65909,0220,0.417
65909,0221,0.417
65909,0222,0.417
65909,0223,0.414
65909,0300,0.414
65909,0301,0.414
65909,0302,0.414
65909,0303,0.411
65909,0304,0.411
65909,0305,0.414
65909,0306,0.417
65909,0307,0.415
65909,0308,0.417
65909,0309,0.421
65909,0310,0.421
65909,0311,0.421
65909,0324,0.397
65909,0313,0.403
65909,0314,0.397
65909,0315,0.398
65909,0316,0.405
65909,0317,0.407
65909,0318,0.388
65909,0319,0.394
65909,0320,0.411
65909,0321,0.411
65909,0322,0.411
65909,0323,0.411
65909,0400,0.411
65909,0401,0.411
65909,0402,0.408
65909,0403,0.408
65909,0404,0.408
65909,0405,0.405
65909,0406,0.408
65909,0407,0.408
65909,0408,0.408
65909,0409,0.408
65909,0410,0.392
65909,0411,0.385
65909,0424,0.390
65909,0413,0.394
65909,0414,0.391
65909,0415,0.394
65909,0416,0.393
65909,0417,0.383
65909,0418,0.385
65909,0419,0.371
65909,0420,0.375
65909,0421,0.370
65909,0422,0.380
65909,0423,0.382
65909,0500,0.390
65909,0501,0.388
65909,0502,0.386
65909,0503,0.381
65909,0504,0.385
65909,0505,0.375
65909,0506,0.388
65909,0507,0.387
65909,0508,0.388
65909,0509,0.381
65909,0510,0.403
65909,0511,0.406
65909,0524,0.411
65909,0513,0.412
65909,0514,0.408
65909,0515,0.408
65909,0516,0.406
65909,0517,0.413
65909,0518,0.425
65909,0519,0.429
65909,0520,0.429
65909,0521,0.429
65909,0522,0.429
65909,0523,0.427
65909,0600,0.426
65909,0601,0.428
65909,0602,0.423
65909,0603,0.440
65909,0604,0.445
65909,0605,0.453
65909,0606,0.454
65909,0607,0.454
65909,0608,0.456
65909,0609,0.456
65909,0610,0.455
65909,0611,0.452
65909,0624,0.449
65909,0613,0.442
65909,0614,0.439
