Site_no,DateTime,Value
66602,31/12/2023 12:00:00 PM,1.788
66602,31/12/2023 1:00:00 PM,1.787
66602,31/12/2023 2:00:00 PM,1.794
66602,31/12/2023 3:00:00 PM,1.801
66602,31/12/2023 4:00:00 PM,1.815
66602,31/12/2023 5:00:00 PM,1.829
66602,31/12/2023 6:00:00 PM,1.836
66602,31/12/2023 7:00:00 PM,1.842
66602,31/12/2023 8:00:00 PM,1.842
66602,31/12/2023 9:00:00 PM,1.841
66602,31/12/2023 10:00:00 PM,1.833
66602,31/12/2023 11:00:00 PM,1.840
66602,1/01/2024 12:00:00 AM,2.182
66602,1/01/2024 1:00:00 AM,2.029
66602,1/01/2024 2:00:00 AM,1.928
66602,1/01/2024 3:00:00 AM,1.897
66602,1/01/2024 4:00:00 AM,1.844
66602,1/01/2024 5:00:00 AM,1.813
66602,1/01/2024 6:00:00 AM,1.797
66602,1/01/2024 7:00:00 AM,1.789
66602,1/01/2024 8:00:00 AM,1.789
66602,1/01/2024 9:00:00 AM,1.788
66602,1/01/2024 10:00:00 AM,1.780
66602,1/01/2024 11:00:00 AM,1.772
66602,1/01/2024 12:00:00 PM,1.771
66602,1/01/2024 1:00:00 PM,1.778
66602,1/01/2024 2:00:00 PM,1.777
66602,1/01/2024 3:00:00 PM,1.784
66602,1/01/2024 4:00:00 PM,1.790
66602,1/01/2024 5:00:00 PM,1.804
66602,1/01/2024 6:00:00 PM,1.819
66602,1/01/2024 7:00:00 PM,1.825
66602,1/01/2024 8:00:00 PM,1.825
66602,1/01/2024 9:00:00 PM,1.824
66602,1/01/2024 10:00:00 PM,1.816
66602,1/01/2024 11:00:00 PM,1.808
66602,2/01/2024 12:00:00 AM,1.799
66602,2/01/2024 1:00:00 AM,1.791
66602,2/01/2024 2:00:00 AM,1.791
66602,2/01/2024 3:00:00 AM,1.790
66602,2/01/2024 4:00:00 AM,1.789
66602,2/01/2024 5:00:00 AM,1.796
66602,2/01/2024 6:00:00 AM,1.795
66602,2/01/2024 7:00:00 AM,1.794
66602,2/01/2024 8:00:00 AM,1.794
66602,2/01/2024 9:00:00 AM,1.793
66602,2/01/2024 10:00:00 AM,1.800
66602,2/01/2024 11:00:00 AM,1.792
66602,2/01/2024 12:00:00 PM,1.784
66602,2/01/2024 1:00:00 PM,1.790
66602,2/01/2024 2:00:00 PM,1.797
66602,2/01/2024 3:00:00 PM,1.811
66602,2/01/2024 4:00:00 PM,1.833
66602,2/01/2024 5:00:00 PM,1.854
66602,2/01/2024 6:00:00 PM,1.876
66602,2/01/2024 7:00:00 PM,1.875
66602,2/01/2024 8:00:00 PM,1.867
66602,2/01/2024 9:00:00 PM,1.866
66602,2/01/2024 10:00:00 PM,1.858
66602,2/01/2024 11:00:00 PM,1.857
66602,3/01/2024 12:00:00 AM,1.902
66602,3/01/2024 1:00:00 AM,1.962
66602,3/01/2024 2:00:00 AM,1.985
66602,3/01/2024 3:00:00 AM,2.015
66602,3/01/2024 4:00:00 AM,2.030
66602,3/01/2024 5:00:00 AM,2.006
66602,3/01/2024 6:00:00 AM,1.982
66602,3/01/2024 7:00:00 AM,1.942
66602,3/01/2024 8:00:00 AM,1.873
66602,3/01/2024 9:00:00 AM,1.843
66602,3/01/2024 10:00:00 AM,1.842
66602,3/01/2024 11:00:00 AM,1.834
66602,3/01/2024 12:00:00 PM,1.871
66602,3/01/2024 1:00:00 PM,1.847
66602,3/01/2024 2:00:00 PM,1.832
66602,3/01/2024 3:00:00 PM,1.868
66602,3/01/2024 4:00:00 PM,1.830
66602,3/01/2024 5:00:00 PM,1.889
66602,3/01/2024 6:00:00 PM,1.896
66602,3/01/2024 7:00:00 PM,1.873
66602,3/01/2024 8:00:00 PM,1.865
66602,3/01/2024 9:00:00 PM,1.864
66602,3/01/2024 10:00:00 PM,1.863
66602,3/01/2024 11:00:00 PM,1.855
66602,4/01/2024 12:00:00 AM,1.847
66602,4/01/2024 1:00:00 AM,1.839
66602,4/01/2024 2:00:00 AM,1.838
66602,4/01/2024 3:00:00 AM,1.830
66602,4/01/2024 4:00:00 AM,1.821
66602,4/01/2024 5:00:00 AM,1.821
66602,4/01/2024 6:00:00 AM,1.820
66602,4/01/2024 7:00:00 AM,1.819
66602,4/01/2024 8:00:00 AM,1.826
66602,4/01/2024 9:00:00 AM,1.818
66602,4/01/2024 10:00:00 AM,1.810
66602,4/01/2024 11:00:00 AM,1.831
66602,4/01/2024 12:00:00 PM,1.823
66602,4/01/2024 1:00:00 PM,1.822
66602,4/01/2024 2:00:00 PM,1.881
66602,4/01/2024 3:00:00 PM,1.896
66602,4/01/2024 4:00:00 PM,1.903
66602,4/01/2024 5:00:00 PM,1.963
66602,4/01/2024 6:00:00 PM,1.993
66602,4/01/2024 7:00:00 PM,1.961
66602,4/01/2024 8:00:00 PM,1.945
66602,4/01/2024 9:00:00 PM,1.937
66602,4/01/2024 10:00:00 PM,1.929
