Site_no,DateTime,Value
66612,31/12/2023 12:00:00 PM,0.954
66612,31/12/2023 1:00:00 PM,0.943
66612,31/12/2023 2:00:00 PM,0.933
66612,31/12/2023 3:00:00 PM,0.929
66612,31/12/2023 4:00:00 PM,0.925
66612,31/12/2023 5:00:00 PM,0.925
66612,31/12/2023 6:00:00 PM,0.921
66612,31/12/2023 7:00:00 PM,0.920
66612,31/12/2023 8:00:00 PM,0.917
66612,31/12/2023 9:00:00 PM,0.916
66612,31/12/2023 10:00:00 PM,0.916
66612,31/12/2023 11:00:00 PM,0.933
66612,1/01/2024 12:00:00 AM,0.992
66612,1/01/2024 1:00:00 AM,1.022
66612,1/01/2024 2:00:00 AM,1.010
66612,1/01/2024 3:00:00 AM,0.990
66612,1/01/2024 4:00:00 AM,0.979
66612,1/01/2024 5:00:00 AM,0.962
66612,1/01/2024 6:00:00 AM,0.955
66612,1/01/2024 7:00:00 AM,0.944
66612,1/01/2024 8:00:00 AM,0.940
66612,1/01/2024 9:00:00 AM,0.937
66612,1/01/2024 10:00:00 AM,0.936
66612,1/01/2024 11:00:00 AM,0.939
66612,1/01/2024 12:00:00 PM,0.939
66612,1/01/2024 1:00:00 PM,0.935
66612,1/01/2024 2:00:00 PM,0.931
66612,1/01/2024 3:00:00 PM,0.931
66612,1/01/2024 4:00:00 PM,0.927
66612,1/01/2024 5:00:00 PM,0.927
66612,1/01/2024 6:00:00 PM,0.923
66612,1/01/2024 7:00:00 PM,0.923
66612,1/01/2024 8:00:00 PM,0.923
66612,1/01/2024 9:00:00 PM,0.922
66612,1/01/2024 10:00:00 PM,0.925
66612,1/01/2024 11:00:00 PM,0.928
66612,2/01/2024 12:00:00 AM,0.932
66612,2/01/2024 1:00:00 AM,0.931
66612,2/01/2024 2:00:00 AM,0.934
66612,2/01/2024 3:00:00 AM,0.934
66612,2/01/2024 4:00:00 AM,0.934
66612,2/01/2024 5:00:00 AM,0.937
66612,2/01/2024 6:00:00 AM,0.940
66612,2/01/2024 7:00:00 AM,0.936
66612,2/01/2024 8:00:00 AM,0.939
66612,2/01/2024 9:00:00 AM,0.932
66612,2/01/2024 10:00:00 AM,0.932
66612,2/01/2024 11:00:00 AM,0.924
66612,2/01/2024 12:00:00 PM,0.924
66612,2/01/2024 1:00:00 PM,0.924
66612,2/01/2024 2:00:00 PM,0.923
66612,2/01/2024 3:00:00 PM,0.923
66612,2/01/2024 4:00:00 PM,0.923
66612,2/01/2024 5:00:00 PM,0.919
66612,2/01/2024 6:00:00 PM,0.922
66612,2/01/2024 7:00:00 PM,0.925
66612,2/01/2024 8:00:00 PM,0.925
66612,2/01/2024 9:00:00 PM,0.918
66612,2/01/2024 10:00:00 PM,0.917
66612,2/01/2024 11:00:00 PM,0.917
66612,3/01/2024 12:00:00 AM,0.930
66612,3/01/2024 1:00:00 AM,0.963
66612,3/01/2024 2:00:00 AM,0.996
66612,3/01/2024 3:00:00 AM,0.988
66612,3/01/2024 4:00:00 AM,0.980
66612,3/01/2024 5:00:00 AM,0.969
66612,3/01/2024 6:00:00 AM,0.958
66612,3/01/2024 7:00:00 AM,0.948
66612,3/01/2024 8:00:00 AM,0.937
66612,3/01/2024 9:00:00 AM,0.930
66612,3/01/2024 10:00:00 AM,0.927
66612,3/01/2024 11:00:00 AM,0.923
66612,3/01/2024 12:00:00 PM,0.923
66612,3/01/2024 1:00:00 PM,0.926
66612,3/01/2024 2:00:00 PM,0.925
66612,3/01/2024 3:00:00 PM,0.928
66612,3/01/2024 4:00:00 PM,0.931
66612,3/01/2024 5:00:00 PM,0.928
66612,3/01/2024 6:00:00 PM,0.927
66612,3/01/2024 7:00:00 PM,0.927
66612,3/01/2024 8:00:00 PM,0.927
66612,3/01/2024 9:00:00 PM,0.926
66612,3/01/2024 10:00:00 PM,0.926
66612,3/01/2024 11:00:00 PM,0.926
66612,4/01/2024 12:00:00 AM,0.929
66612,4/01/2024 1:00:00 AM,0.932
66612,4/01/2024 2:00:00 AM,0.944
66612,4/01/2024 3:00:00 AM,0.941
66612,4/01/2024 4:00:00 AM,0.940
66612,4/01/2024 5:00:00 AM,0.937
66612,4/01/2024 6:00:00 AM,0.940
66612,4/01/2024 7:00:00 AM,0.939
66612,4/01/2024 8:00:00 AM,0.939
66612,4/01/2024 9:00:00 AM,0.932
66612,4/01/2024 10:00:00 AM,0.929
66612,4/01/2024 11:00:00 AM,0.925
66612,4/01/2024 12:00:00 PM,0.921
66612,4/01/2024 1:00:00 PM,0.924
66612,4/01/2024 2:00:00 PM,0.927
66612,4/01/2024 3:00:00 PM,0.927
66612,4/01/2024 4:00:00 PM,0.926
66612,4/01/2024 5:00:00 PM,0.923
66612,4/01/2024 6:00:00 PM,0.919
66612,4/01/2024 7:00:00 PM,0.919
66612,4/01/2024 8:00:00 PM,0.915
66612,4/01/2024 9:00:00 PM,0.912
66612,4/01/2024 10:00:00 PM,0.918
66612,4/01/2024 11:00:00 PM,0.918
66612,5/01/2024 12:00:00 AM,0.924
66612,5/01/2024 1:00:00 AM,0.927
66612,5/01/2024 2:00:00 AM,0.926
66612,5/01/2024 3:00:00 AM,0.929
66612,5/01/2024 4:00:00 AM,0.932
66612,5/01/2024 5:00:00 AM,0.932
66612,5/01/2024 6:00:00 AM,0.934
66612,5/01/2024 7:00:00 AM,0.928
66612,5/01/2024 8:00:00 AM,0.924
66612,5/01/2024 9:00:00 AM,0.917
66612,5/01/2024 10:00:00 AM,0.933
66612,5/01/2024 11:00:00 AM,0.960
66612,5/01/2024 12:00:00 PM,1.137
66612,5/01/2024 1:00:00 PM,1.858
66612,5/01/2024 2:00:00 PM,2.623
66612,5/01/2024 3:00:00 PM,2.211
66612,5/01/2024 4:00:00 PM,1.724
66612,5/01/2024 5:00:00 PM,1.498
66612,5/01/2024 6:00:00 PM,1.277
66612,5/01/2024 7:00:00 PM,1.174
66612,5/01/2024 8:00:00 PM,1.173
66612,5/01/2024 9:00:00 PM,1.177
66612,5/01/2024 10:00:00 PM,1.112
66612,5/01/2024 11:00:00 PM,1.086
66612,6/01/2024 12:00:00 AM,1.069
66612,6/01/2024 1:00:00 AM,1.057
66612,6/01/2024 2:00:00 AM,1.040
66612,6/01/2024 3:00:00 AM,1.032
66612,6/01/2024 4:00:00 AM,1.027
66612,6/01/2024 5:00:00 AM,1.023
66612,6/01/2024 6:00:00 AM,1.019
66612,6/01/2024 7:00:00 AM,1.014
66612,6/01/2024 8:00:00 AM,1.002
66612,6/01/2024 9:00:00 AM,0.990
66612,6/01/2024 10:00:00 AM,0.982
66612,6/01/2024 11:00:00 AM,0.974
66612,6/01/2024 12:00:00 PM,0.966
66612,6/01/2024 1:00:00 PM,0.955
66612,6/01/2024 2:00:00 PM,0.951
66612,6/01/2024 3:00:00 PM,0.954
66612,6/01/2024 4:00:00 PM,0.939
66612,6/01/2024 5:00:00 PM,0.950
66612,6/01/2024 6:00:00 PM,0.964
66612,6/01/2024 7:00:00 PM,0.952
66612,6/01/2024 8:00:00 PM,0.941
66612,6/01/2024 9:00:00 PM,0.934
66612,6/01/2024 10:00:00 PM,0.930
66612,6/01/2024 11:00:00 PM,0.929
66612,7/01/2024 12:00:00 AM,0.929
66612,7/01/2024 1:00:00 AM,0.932
66612,7/01/2024 2:00:00 AM,0.935
66612,7/01/2024 3:00:00 AM,0.939
66612,7/01/2024 4:00:00 AM,0.942
66612,7/01/2024 5:00:00 AM,0.942
66612,7/01/2024 6:00:00 AM,0.941
66612,7/01/2024 7:00:00 AM,0.937
66612,7/01/2024 8:00:00 AM,0.937
66612,7/01/2024 9:00:00 AM,0.933
66612,7/01/2024 10:00:00 AM,0.925
66612,7/01/2024 11:00:00 AM,0.922
66612,7/01/2024 12:00:00 PM,0.915
66612,7/01/2024 1:00:00 PM,0.912
66612,7/01/2024 2:00:00 PM,0.912
