Site_no,DateTime,Value
66401,31/12/2023 12:00:00 PM,128.952
66401,31/12/2023 1:00:00 PM,124.459
66401,31/12/2023 2:00:00 PM,121.579
66401,31/12/2023 3:00:00 PM,118.105
66401,31/12/2023 4:00:00 PM,114.968
66401,31/12/2023 5:00:00 PM,112.074
66401,31/12/2023 6:00:00 PM,109.572
66401,31/12/2023 7:00:00 PM,107.996
66401,31/12/2023 8:00:00 PM,110.897
66401,31/12/2023 9:00:00 PM,111.967
66401,31/12/2023 10:00:00 PM,120.112
66401,31/12/2023 11:00:00 PM,361.720
66401,1/01/2024 12:00:00 AM,416.736
66401,1/01/2024 1:00:00 AM,407.232
66401,1/01/2024 2:00:00 AM,380.165
66401,1/01/2024 3:00:00 AM,364.941
66401,1/01/2024 4:00:00 AM,336.666
66401,1/01/2024 5:00:00 AM,311.933
66401,1/01/2024 6:00:00 AM,297.222
66401,1/01/2024 7:00:00 AM,281.701
66401,1/01/2024 8:00:00 AM,271.357
66401,1/01/2024 9:00:00 AM,259.897
66401,1/01/2024 10:00:00 AM,249.028
66401,1/01/2024 11:00:00 AM,236.297
66401,1/01/2024 12:00:00 PM,224.614
66401,1/01/2024 1:00:00 PM,213.076
66401,1/01/2024 2:00:00 PM,206.277
66401,1/01/2024 3:00:00 PM,195.666
66401,1/01/2024 4:00:00 PM,188.968
66401,1/01/2024 5:00:00 PM,179.356
66401,1/01/2024 6:00:00 PM,171.858
66401,1/01/2024 7:00:00 PM,166.666
66401,1/01/2024 8:00:00 PM,159.462
66401,1/01/2024 9:00:00 PM,156.214
66401,1/01/2024 10:00:00 PM,151.174
66401,1/01/2024 11:00:00 PM,146.658
66401,2/01/2024 12:00:00 AM,142.394
66401,2/01/2024 1:00:00 AM,137.452
66401,2/01/2024 2:00:00 AM,135.067
66401,2/01/2024 3:00:00 AM,131.443
66401,2/01/2024 4:00:00 AM,128.185
66401,2/01/2024 5:00:00 AM,124.563
66401,2/01/2024 6:00:00 AM,120.560
66401,2/01/2024 7:00:00 AM,119.494
66401,2/01/2024 8:00:00 AM,116.277
66401,2/01/2024 9:00:00 AM,113.434
66401,2/01/2024 10:00:00 AM,112.761
66401,2/01/2024 11:00:00 AM,109.412
66401,2/01/2024 12:00:00 PM,106.183
66401,2/01/2024 1:00:00 PM,105.380
66401,2/01/2024 2:00:00 PM,103.528
66401,2/01/2024 3:00:00 PM,104.503
66401,2/01/2024 4:00:00 PM,101.251
66401,2/01/2024 5:00:00 PM,99.668
66401,2/01/2024 6:00:00 PM,98.449
66401,2/01/2024 7:00:00 PM,96.142
66401,2/01/2024 8:00:00 PM,93.814
66401,2/01/2024 9:00:00 PM,90.666
66401,2/01/2024 10:00:00 PM,90.547
66401,2/01/2024 11:00:00 PM,89.619
66401,3/01/2024 12:00:00 AM,90.423
66401,3/01/2024 1:00:00 AM,89.788
66401,3/01/2024 2:00:00 AM,89.846
66401,3/01/2024 3:00:00 AM,88.203
66401,3/01/2024 4:00:00 AM,86.480
66401,3/01/2024 5:00:00 AM,83.876
66401,3/01/2024 6:00:00 AM,83.428
66401,3/01/2024 7:00:00 AM,82.001
66401,3/01/2024 8:00:00 AM,81.148
66401,3/01/2024 9:00:00 AM,80.180
66401,3/01/2024 10:00:00 AM,80.485
66401,3/01/2024 11:00:00 AM,79.367
66401,3/01/2024 12:00:00 PM,78.342
66401,3/01/2024 1:00:00 PM,77.024
66401,3/01/2024 2:00:00 PM,75.797
66401,3/01/2024 3:00:00 PM,75.081
66401,3/01/2024 4:00:00 PM,74.410
66401,3/01/2024 5:00:00 PM,73.458
66401,3/01/2024 6:00:00 PM,72.045
66401,3/01/2024 7:00:00 PM,71.533
66401,3/01/2024 8:00:00 PM,71.326
66401,3/01/2024 9:00:00 PM,70.326
66401,3/01/2024 10:00:00 PM,70.543
66401,3/01/2024 11:00:00 PM,69.582
66401,4/01/2024 12:00:00 AM,69.361
66401,4/01/2024 1:00:00 AM,68.897
66401,4/01/2024 2:00:00 AM,67.978
66401,4/01/2024 3:00:00 AM,68.052
66401,4/01/2024 4:00:00 AM,67.337
66401,4/01/2024 5:00:00 AM,67.058
66401,4/01/2024 6:00:00 AM,66.189
66401,4/01/2024 7:00:00 AM,65.409
66401,4/01/2024 8:00:00 AM,65.428
66401,4/01/2024 9:00:00 AM,64.956
66401,4/01/2024 10:00:00 AM,64.899
66401,4/01/2024 11:00:00 AM,64.744
66401,4/01/2024 12:00:00 PM,63.688
66401,4/01/2024 1:00:00 PM,63.199
66401,4/01/2024 2:00:00 PM,62.686
66401,4/01/2024 3:00:00 PM,61.792
66401,4/01/2024 4:00:00 PM,60.957
66401,4/01/2024 5:00:00 PM,60.780
66401,4/01/2024 6:00:00 PM,59.790
66401,4/01/2024 7:00:00 PM,60.431
66401,4/01/2024 8:00:00 PM,60.085
66401,4/01/2024 9:00:00 PM,59.476
66401,4/01/2024 10:00:00 PM,59.224
66401,4/01/2024 11:00:00 PM,59.302
66401,5/01/2024 12:00:00 AM,59.414
66401,5/01/2024 1:00:00 AM,58.726
66401,5/01/2024 2:00:00 AM,57.786
66401,5/01/2024 3:00:00 AM,57.822
66401,5/01/2024 4:00:00 AM,57.486
66401,5/01/2024 5:00:00 AM,56.867
66401,5/01/2024 6:00:00 AM,56.564
66401,5/01/2024 7:00:00 AM,55.850
66401,5/01/2024 8:00:00 AM,55.759
66401,5/01/2024 9:00:00 AM,55.508
66401,5/01/2024 10:00:00 AM,55.448
66401,5/01/2024 11:00:00 AM,56.531
66401,5/01/2024 12:00:00 PM,56.965
66401,5/01/2024 1:00:00 PM,56.642
66401,5/01/2024 2:00:00 PM,56.448
66401,5/01/2024 3:00:00 PM,56.047
66401,5/01/2024 4:00:00 PM,56.320
66401,5/01/2024 5:00:00 PM,56.453
66401,5/01/2024 6:00:00 PM,55.851
66401,5/01/2024 7:00:00 PM,56.106
66401,5/01/2024 8:00:00 PM,56.197
66401,5/01/2024 9:00:00 PM,57.220
66401,5/01/2024 10:00:00 PM,57.042
