Site_no,DateTime,Value
65909,31/12/2023 12:00:00 PM,0.445
65909,31/12/2023 1:00:00 PM,0.421
65909,31/12/2023 2:00:00 PM,0.423
65909,31/12/2023 3:00:00 PM,0.441
65909,31/12/2023 4:00:00 PM,0.427
65909,31/12/2023 5:00:00 PM,0.436
65909,31/12/2023 6:00:00 PM,0.440
65909,31/12/2023 7:00:00 PM,0.430
65909,31/12/2023 8:00:00 PM,0.450
65909,31/12/2023 9:00:00 PM,0.447
65909,31/12/2023 10:00:00 PM,0.447
65909,31/12/2023 11:00:00 PM,0.447
65909,1/01/2024 12:00:00 AM,0.444
65909,1/01/2024 1:00:00 AM,0.445
65909,1/01/2024 2:00:00 AM,0.449
65909,1/01/2024 3:00:00 AM,0.447
65909,1/01/2024 4:00:00 AM,0.446
65909,1/01/2024 5:00:00 AM,0.447
65909,1/01/2024 6:00:00 AM,0.450
65909,1/01/2024 7:00:00 AM,0.450
65909,1/01/2024 8:00:00 AM,0.454
65909,1/01/2024 9:00:00 AM,0.433
65909,1/01/2024 10:00:00 AM,0.432
65909,1/01/2024 11:00:00 AM,0.427
65909,1/01/2024 12:00:00 PM,0.424
65909,1/01/2024 1:00:00 PM,0.426
65909,1/01/2024 2:00:00 PM,0.429
65909,1/01/2024 3:00:00 PM,0.432
65909,1/01/2024 4:00:00 PM,0.434
65909,1/01/2024 5:00:00 PM,0.434
65909,1/01/2024 6:00:00 PM,0.434
65909,1/01/2024 7:00:00 PM,0.438
65909,1/01/2024 8:00:00 PM,0.436
65909,1/01/2024 9:00:00 PM,0.434
65909,1/01/2024 10:00:00 PM,0.433
65909,1/01/2024 11:00:00 PM,0.434
65909,2/01/2024 12:00:00 AM,0.430
65909,2/01/2024 1:00:00 AM,0.427
65909,2/01/2024 2:00:00 AM,0.427
65909,2/01/2024 3:00:00 AM,0.427
65909,2/01/2024 4:00:00 AM,0.427
65909,2/01/2024 5:00:00 AM,0.429
65909,2/01/2024 6:00:00 AM,0.428
65909,2/01/2024 7:00:00 AM,0.427
65909,2/01/2024 8:00:00 AM,0.427
65909,2/01/2024 9:00:00 AM,0.421
65909,2/01/2024 10:00:00 AM,0.406
65909,2/01/2024 11:00:00 AM,0.403
65909,2/01/2024 12:00:00 PM,0.403
65909,2/01/2024 1:00:00 PM,0.409
65909,2/01/2024 2:00:00 PM,0.407
65909,2/01/2024 3:00:00 PM,0.399
65909,2/01/2024 4:00:00 PM,0.414
65909,2/01/2024 5:00:00 PM,0.414
65909,2/01/2024 6:00:00 PM,0.403
65909,2/01/2024 7:00:00 PM,0.410
65909,2/01/2024 8:00:00 PM,0.417
65909,2/01/2024 9:00:00 PM,0.417
65909,2/01/2024 10:00:00 PM,0.417
65909,2/01/2024 11:00:00 PM,0.414
65909,3/01/2024 12:00:00 AM,0.414
65909,3/01/2024 1:00:00 AM,0.414
65909,3/01/2024 2:00:00 AM,0.414
65909,3/01/2024 3:00:00 AM,0.411
65909,3/01/2024 4:00:00 AM,0.411
65909,3/01/2024 5:00:00 AM,0.414
65909,3/01/2024 6:00:00 AM,0.417
65909,3/01/2024 7:00:00 AM,0.415
65909,3/01/2024 8:00:00 AM,0.417
65909,3/01/2024 9:00:00 AM,0.421
65909,3/01/2024 10:00:00 AM,0.421
65909,3/01/2024 11:00:00 AM,0.421
65909,3/01/2024 12:00:00 PM,0.397
65909,3/01/2024 1:00:00 PM,0.403
65909,3/01/2024 2:00:00 PM,0.397
65909,3/01/2024 3:00:00 PM,0.398
65909,3/01/2024 4:00:00 PM,0.405
65909,3/01/2024 5:00:00 PM,0.407
65909,3/01/2024 6:00:00 PM,0.388
65909,3/01/2024 7:00:00 PM,0.394
65909,3/01/2024 8:00:00 PM,0.411
65909,3/01/2024 9:00:00 PM,0.411
65909,3/01/2024 10:00:00 PM,0.411
65909,3/01/2024 11:00:00 PM,0.411
65909,4/01/2024 12:00:00 AM,0.411
65909,4/01/2024 1:00:00 AM,0.411
65909,4/01/2024 2:00:00 AM,0.408
65909,4/01/2024 3:00:00 AM,0.408
65909,4/01/2024 4:00:00 AM,0.408
65909,4/01/2024 5:00:00 AM,0.405
65909,4/01/2024 6:00:00 AM,0.408
65909,4/01/2024 7:00:00 AM,0.408
65909,4/01/2024 8:00:00 AM,0.408
65909,4/01/2024 9:00:00 AM,0.408
65909,4/01/2024 10:00:00 AM,0.392
65909,4/01/2024 11:00:00 AM,0.385
65909,4/01/2024 12:00:00 PM,0.390
65909,4/01/2024 1:00:00 PM,0.394
65909,4/01/2024 2:00:00 PM,0.391
65909,4/01/2024 3:00:00 PM,0.394
65909,4/01/2024 4:00:00 PM,0.393
65909,4/01/2024 5:00:00 PM,0.383
65909,4/01/2024 6:00:00 PM,0.385
65909,4/01/2024 7:00:00 PM,0.371
65909,4/01/2024 8:00:00 PM,0.375
65909,4/01/2024 9:00:00 PM,0.370
65909,4/01/2024 10:00:00 PM,0.380
65909,4/01/2024 11:00:00 PM,0.382
65909,5/01/2024 12:00:00 AM,0.390
65909,5/01/2024 1:00:00 AM,0.388
65909,5/01/2024 2:00:00 AM,0.386
65909,5/01/2024 3:00:00 AM,0.381
65909,5/01/2024 4:00:00 AM,0.385
65909,5/01/2024 5:00:00 AM,0.375
65909,5/01/2024 6:00:00 AM,0.388
65909,5/01/2024 7:00:00 AM,0.387
65909,5/01/2024 8:00:00 AM,0.388
65909,5/01/2024 9:00:00 AM,0.381
65909,5/01/2024 10:00:00 AM,0.403
65909,5/01/2024 11:00:00 AM,0.406
65909,5/01/2024 12:00:00 PM,0.411
65909,5/01/2024 1:00:00 PM,0.412
65909,5/01/2024 2:00:00 PM,0.408
65909,5/01/2024 3:00:00 PM,0.408
65909,5/01/2024 4:00:00 PM,0.406
65909,5/01/2024 5:00:00 PM,0.413
65909,5/01/2024 6:00:00 PM,0.425
65909,5/01/2024 7:00:00 PM,0.429
65909,5/01/2024 8:00:00 PM,0.429
